"dc","atype","bidf","instl","isp","nt","mfr","period"
1,"8",0,"0","1","1","其他","晚上"
1,"8",0,"0","0","1","小米","下午"
1,"8",0,"1","3","1","华为","晚上"
1,"8",0,"0","2","1","华为","下午"
1,"8",0,"0","3","1","酷派","晚上"
1,"8",0,"0","1","1","其他","上午"
1,"8",0,"0","1","1","小米","晚上"
1,"8",0,"0","1","0","三星","上午"
1,"8",0,"1","3","1","其他","下午"
1,"3",0.000498099,"0","0","1","苹果","下午"
1,"8",0,"0","0","1","其他","上午"
1,"8",0,"0","1","1","小米","下午"
1,"8",0,"0","2","1","小米","晚上"
1,"8",0,"0","1","1","OPPO","晚上"
1,"8",0,"0","1","1","小米","上午"
1,"8",0,"0","1","1","小米","下午"
1,"8",0,"0","1","0","其他","下午"
1,"8",0,"0","3","1","其他","上午"
1,"8",0,"0","2","1","华为","上午"
1,"8",0,"0","1","1","三星","上午"
1,"8",0,"0","1","1","vivo","下午"
1,"8",0,"0","1","0","小米","上午"
1,"8",0,"0","2","0","OPPO","上午"
1,"8",0,"1","0","1","三星","晚上"
1,"8",0,"0","1","1","其他","晚上"
1,"3",0.000498099,"0","0","1","苹果","晚上"
1,"8",0,"0","0","1","酷派","上午"
1,"8",0,"1","0","1","其他","晚上"
1,"8",0,"0","1","1","OPPO","下午"
1,"8",0,"0","1","1","小米","晚上"
1,"8",0,"0","1","1","华为","晚上"
1,"8",0,"0","3","1","OPPO","晚上"
1,"8",0,"0","1","1","三星","上午"
1,"7",8e-04,"0","3","1","华为","晚上"
1,"8",0,"0","1","1","华为","上午"
1,"8",0,"0","1","1","小米","晚上"
1,"8",0,"0","2","1","酷派","晚上"
1,"8",0,"0","1","1","华为","下午"
1,"8",0,"0","1","1","华为","下午"
1,"8",0,"0","3","1","华为","上午"
1,"8",0,"0","3","1","其他","晚上"
1,"8",0,"0","1","1","三星","晚上"
1,"8",0,"0","1","1","华为","上午"
1,"8",0,"0","1","1","金立","晚上"
1,"8",0,"0","0","1","苹果","下午"
1,"8",0,"0","1","1","OPPO","晚上"
1,"8",0,"1","3","1","三星","晚上"
1,"8",0,"0","1","1","OPPO","下午"
1,"8",0,"0","2","1","其他","晚上"
1,"7",8e-04,"0","1","1","其他","上午"
1,"8",0,"0","3","1","小米","上午"
1,"8",0,"0","1","1","小米","上午"
1,"8",0,"0","1","1","小米","上午"
1,"8",0,"0","2","1","三星","上午"
1,"8",0,"0","1","1","vivo","晚上"
1,"8",0,"0","1","1","OPPO","下午"
1,"8",0,"0","2","1","小米","上午"
1,"8",0,"0","1","1","vivo","下午"
1,"8",0,"0","3","1","OPPO","上午"
1,"8",0,"0","1","1","OPPO","晚上"
1,"8",0,"0","1","1","小米","下午"
1,"8",0,"0","1","1","vivo","下午"
1,"8",0,"0","1","1","小米","下午"
1,"8",0,"0","3","1","三星","上午"
1,"8",0,"0","1","1","魅族","晚上"
1,"8",0,"0","1","1","三星","上午"
1,"7",8e-04,"0","3","1","OPPO","晚上"
1,"8",0,"0","1","0","其他","下午"
