,dc,atype,bidf,instl,isp,nt,mfr,period
0,1,8,0.0,0,1,1,Others,Evening
1,1,8,0.0,0,0,1,Xiaomi,Afternoon
2,1,8,0.0,1,3,1,Huawei,Evening
3,1,8,0.0,0,2,1,Huawei,Afternoon
4,1,8,0.0,0,3,1,Coolpad,Evening
5,1,8,0.0,0,1,1,Others,Morning
6,1,8,0.0,0,1,1,Xiaomi,Evening
7,1,8,0.0,0,1,0,Samsung,Morning
8,1,8,0.0,1,3,1,Others,Afternoon
9,1,3,0.000498099,0,0,1,Apple,Afternoon
10,1,8,0.0,0,0,1,Others,Morning
11,1,8,0.0,0,1,1,Xiaomi,Afternoon
12,1,8,0.0,0,2,1,Xiaomi,Evening
13,1,8,0.0,0,1,1,OPPO,Evening
14,1,8,0.0,0,1,1,Xiaomi,Morning
15,1,8,0.0,0,1,1,Xiaomi,Afternoon
16,1,8,0.0,0,1,0,Others,Afternoon
17,1,8,0.0,0,3,1,Others,Morning
18,1,8,0.0,0,2,1,Huawei,Morning
19,1,8,0.0,0,1,1,Samsung,Morning
20,1,8,0.0,0,1,1,vivo,Afternoon
21,1,8,0.0,0,1,0,Xiaomi,Morning
22,1,8,0.0,0,2,0,OPPO,Morning
23,1,8,0.0,1,0,1,Samsung,Evening
24,1,8,0.0,0,1,1,Others,Evening
25,1,3,0.000498099,0,0,1,Apple,Evening
26,1,8,0.0,0,0,1,Coolpad,Morning
27,1,8,0.0,1,0,1,Others,Evening
28,1,8,0.0,0,1,1,OPPO,Afternoon
29,1,8,0.0,0,1,1,Xiaomi,Evening
30,1,8,0.0,0,1,1,Huawei,Evening
31,1,8,0.0,0,3,1,OPPO,Evening
32,1,8,0.0,0,1,1,Samsung,Morning
33,1,7,0.0008,0,3,1,Huawei,Evening
34,1,8,0.0,0,1,1,Huawei,Morning
35,1,8,0.0,0,1,1,Xiaomi,Evening
36,1,8,0.0,0,2,1,Coolpad,Evening
37,1,8,0.0,0,1,1,Huawei,Afternoon
38,1,8,0.0,0,1,1,Huawei,Afternoon
39,1,8,0.0,0,3,1,Huawei,Morning
40,1,8,0.0,0,3,1,Others,Evening
41,1,8,0.0,0,1,1,Samsung,Evening
42,1,8,0.0,0,1,1,Huawei,Morning
43,1,8,0.0,0,1,1,Gionee,Evening
44,1,8,0.0,0,0,1,Apple,Afternoon
45,1,8,0.0,0,1,1,OPPO,Evening
46,1,8,0.0,1,3,1,Samsung,Evening
47,1,8,0.0,0,1,1,OPPO,Afternoon
48,1,8,0.0,0,2,1,Others,Evening
49,1,7,0.0008,0,1,1,Others,Morning
50,1,8,0.0,0,3,1,Xiaomi,Morning
51,1,8,0.0,0,1,1,Xiaomi,Morning
52,1,8,0.0,0,1,1,Xiaomi,Morning
53,1,8,0.0,0,2,1,Samsung,Morning
54,1,8,0.0,0,1,1,vivo,Evening
55,1,8,0.0,0,1,1,OPPO,Afternoon
56,1,8,0.0,0,2,1,Xiaomi,Morning
57,1,8,0.0,0,1,1,vivo,Afternoon
58,1,8,0.0,0,3,1,OPPO,Morning
59,1,8,0.0,0,1,1,OPPO,Evening
60,1,8,0.0,0,1,1,Xiaomi,Afternoon
61,1,8,0.0,0,1,1,vivo,Afternoon
62,1,8,0.0,0,1,1,Xiaomi,Afternoon
63,1,8,0.0,0,3,1,Samsung,Morning
64,1,8,0.0,0,1,1,Meizu,Evening
65,1,8,0.0,0,1,1,Samsung,Morning
66,1,7,0.0008,0,3,1,OPPO,Evening
67,1,8,0.0,0,1,0,Others,Afternoon
