"LogEarning","Schooling","QoB"
10.8969715410838,7.2,2
9.82699456510687,13.2,2
14.4187434926772,16,1
13.2501301496,19,1
14.373162129887,13.2,2
14.5124042118684,10.5,3
20.8253471615875,19.2,2
21.1171718939676,19.5,3
15.7859041373771,16.2,2
12.5543774822881,13.7,4
12.4891340245837,19.7,4
14.8075708545575,16.7,4
15.192437012492,16.7,4
17.7068708407206,19.7,4
14.2488131529498,16,1
20.3532292134442,19.5,3
19.2078941309972,22.7,4
14.7896743192024,13.7,4
17.0772158710111,13.7,4
10.8739376615109,13.7,4
15.0752433451972,13.2,2
15.7641165785406,19.5,3
11.9819607959039,16.2,2
14.4000814739412,13,1
14.2134537142901,16.2,2
15.0776465961321,13.7,4
18.5706856818114,16.2,2
11.1411511401468,10.5,3
13.4159878162869,16.2,2
18.0345660986865,16.2,2
17.7563299426531,16.2,2
15.3158277603662,16.7,4
12.8078735606724,13.5,3
16.2791423520796,16.5,3
11.8115590237811,16,1
16.831598964959,16.5,3
15.368638861985,13.7,4
11.7340115489169,10,1
8.84029046704252,10,1
15.5207382210271,10.7,4
13.4982699948308,13.7,4
15.4990997017055,13.5,3
15.7748930118479,13.7,4
21.1121367047754,16.5,3
14.2293051207884,7,1
16.6859816944506,16.5,3
17.6648733852189,19.7,4
11.8480068389679,10.5,3
16.5155865073853,16.7,4
9.94951301039019,13.7,4
14.49754821833,10.7,4
17.0061243858857,16.7,4
11.6486275805065,10.7,4
19.8020812483648,16.7,4
12.3559568120764,13.2,2
15.1999540372628,16,1
13.0485080442301,16.5,3
11.0468559975826,13,1
17.5875511127783,19.7,4
10.4805428598878,16.5,3
10.5548318325921,13,1
16.5298749741399,16.2,2
9.03983372162817,7.2,2
12.8959216189913,10.7,4
10.3921121413271,16.2,2
10.3786256536648,13.2,2
15.8229413435137,16,1
22.8378687658828,13.5,3
11.0285712785635,13.5,3
17.6049902356405,16.2,2
6.60044862567042,10,1
17.9418786704886,19.7,4
19.4922806528378,19,1
17.1710991058254,19.5,3
13.9113478775494,10,1
15.6447749340215,19.5,3
5.49812496823351,10.2,2
16.5213152516137,19.2,2
17.1904005442471,16,1
15.7900817694836,19,1
19.958177177037,19.5,3
15.9629198888722,16,1
19.2618001226412,13.5,3
12.84697982981,10.5,3
12.0637256903655,16.7,4
12.1000024840965,13.5,3
15.71090234624,13.5,3
14.6988421678695,13.5,3
14.1314313878194,16.5,3
17.4684904428354,10.2,2
15.6899253802582,13.7,4
16.3622025263912,19,1
15.0688643448142,16.2,2
18.9467385889782,16,1
18.9888410014635,16.7,4
13.7301043909695,16.2,2
15.2885712147485,13.7,4
18.1834050403068,19.2,2
17.8182159894331,13.2,2
18.8736872729758,22,1
17.4949747235265,13.5,3
17.6880501054376,16,1
13.6945222647617,13,1
14.007403189239,13.5,3
19.4826203788328,16.5,3
13.8996983405933,16,1
15.7220980398763,13,1
21.8349290487374,16,1
15.58837914932,10.2,2
10.1013119353607,10,1
15.5949515585914,16.2,2
16.980648184208,16.2,2
11.5647422443148,16.5,3
14.9792308312835,10.5,3
11.3870169962562,13.7,4
14.5211158119293,16.7,4
15.0708134011013,10.5,3
13.3198831778454,16,1
18.0907386637466,19.7,4
12.842162600855,10.7,4
12.7923991419039,10.2,2
15.8243392759166,16.5,3
12.0421943515085,13.7,4
15.0443388847361,13,1
12.9191310729196,13.5,3
10.8212352884197,16.7,4
10.9717597943114,16.5,3
9.95714366799928,13.5,3
13.8913873775101,13.5,3
13.2645923765192,13,1
15.209778460032,13.2,2
17.7885972338938,16.7,4
13.6200617505367,13.2,2
17.1801247299506,16.2,2
16.9680075674284,13.5,3
18.5766031646492,19.2,2
12.3970813130423,13.7,4
18.2092124923389,16.7,4
15.506986457226,16.7,4
14.440555987677,13.2,2
14.8123316060198,16.5,3
14.1153648533676,16.7,4
9.31568647239049,16,1
10.2338212435995,16.2,2
11.2057937618254,13.2,2
13.6556937619935,13.5,3
21.7909229577271,16,1
15.2914177314413,13.2,2
20.3229617080629,19.2,2
12.7105831110492,13.7,4
15.9876571131426,19.7,4
8.77204578318534,13,1
18.9742722770351,19,1
10.9548860087482,10.7,4
10.1622677171089,10,1
16.1275266759432,16,1
18.1852933168818,13.5,3
13.9710588323661,16.5,3
17.9149618558337,16.2,2
21.1405336914772,19.2,2
9.90245813923037,13.5,3
11.0729071168332,7.7,4
18.1267784313288,16.5,3
11.9924137946211,7.2,2
12.8206928573889,16.5,3
17.5946693967212,16.7,4
16.7565139081002,13.5,3
12.6420722088403,13.5,3
19.7838671067925,16.2,2
14.5838017016083,13.7,4
17.4539998623844,19,1
12.0867735724384,10.2,2
14.4802398770545,16.5,3
15.8905601556288,19.5,3
21.9987610976402,16,1
11.8761823146984,16,1
16.1435058620926,16.2,2
18.2651337981543,16.7,4
10.1740121148394,13.5,3
13.9828945832598,16.2,2
20.3101849182065,16.7,4
20.0781401219147,16.7,4
13.3802355724686,13.2,2
13.1960562393907,16.7,4
13.6843229494918,10.5,3
15.4291134838495,13.2,2
20.5207510755864,16,1
15.9056587626997,13,1
13.7228410837051,13,1
17.4616232721018,16.7,4
12.5141262226942,10.2,2
17.1159160420196,13.5,3
9.31512522735567,16.5,3
14.3884046084998,13.2,2
11.1250344627246,13.5,3
11.041808934365,13.2,2
14.4447157100489,13.2,2
19.026259297614,16.7,4
15.6086046706417,16.2,2
14.3308067118244,13.2,2
11.7519559499816,16.5,3
10.2087396703783,10.7,4
17.2919781773778,19.5,3
15.6062110183821,10.7,4
21.8248701085941,10.5,3
21.2550165062128,19.7,4
17.6803005243487,16.5,3
16.0538648392533,13.7,4
